experiment,win_len,horizon,train_samples,val_samples,test_samples,best_epoch,training_time_sec,final_train_mse,final_val_mse,test_mse,test_mae,test_r2,test_mape
set1_wl168_h48,168,48,96803,11912,11913,18,558.9401245117188,0.7900186626526414,1.0252846479415894,0.9327046275138855,0.6858025789260864,0.8458440899848938,4.611658573150635
set1_wl336_h48,336,48,96635,11744,11745,14,622.1160411834717,0.7961370392774729,1.0558390617370605,0.9549621939659119,0.7061066031455994,0.8428576588630676,4.789156913757324
set1_wl504_h48,504,48,96467,11576,11577,15,845.1642560958862,0.7920685076286402,1.080812931060791,1.0335772037506104,0.7369270920753479,0.829850435256958,4.993340969085693
set2_wl336_h24,336,24,96659,11768,11769,14,533.9182028770447,0.5727336055395619,0.7478011250495911,0.6490280032157898,0.5902677178382874,0.8935846090316772,4.016904830932617
set2_wl336_h48,336,48,96635,11744,11745,19,555.5595531463623,0.7903773023483373,1.0689419507980347,0.9801303148269653,0.7112882733345032,0.8387161493301392,4.804118633270264
set2_wl336_h72,336,72,96611,11720,11721,14,530.154901266098,1.0202844790309529,1.4118123054504395,1.4024534225463867,0.8608343005180359,0.7682451605796814,5.775930881500244
